trademark_gid,fk_mark_drawing_type_cd,fk_fee_process_type_cd,serial_num_tx,registration_num,filing_dt,registry_ct,standard_character_tx,mark_description_tx,preferred_contact_method_ct,effective_filing_dt,collective_in,legacy_status_cd,lock_control_no,create_ts,create_user_id,last_mod_ts,last_mod_user_id,cfk_transaction_instance_gid,begin_effective_ts,end_effective_ts,status_dt,last_action_dt,action_ct,available_for_sou_in,external_reference_tx,last_event_type_cd,uspto_generated_image_in,fk_filed_fee_process_type_cd
Trademark:0:60000103,0,TEAS,60000103,103,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.149Z,3333330002,2016-03-16T21:09:49.149Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.149Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000104,0,TEAS,60000104,104,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.150Z,3333330002,2016-03-16T21:09:49.150Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.150Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000105,0,TEAS,60000105,105,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.150Z,3333330002,2016-03-16T21:09:49.150Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.150Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000106,0,TEAS,60000106,106,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.151Z,3333330002,2016-03-16T21:09:49.151Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.151Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000107,0,TEAS,60000107,107,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.151Z,3333330002,2016-03-16T21:09:49.151Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.151Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000109,0,TEAS,60000109,109,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.153Z,3333330002,2016-03-16T21:09:49.153Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.153Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000110,0,TEAS,60000110,110,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.153Z,3333330002,2016-03-16T21:09:49.153Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.153Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000111,0,TEAS,60000111,111,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.154Z,3333330002,2016-03-16T21:09:49.154Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.154Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000113,0,TEAS,60000113,113,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.155Z,3333330002,2016-03-16T21:09:49.155Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.155Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000116,0,TEAS,60000116,116,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.156Z,3333330002,2016-03-16T21:09:49.156Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.156Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000117,0,TEAS,60000117,117,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.157Z,3333330002,2016-03-16T21:09:49.157Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.157Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000118,0,TEAS,60000118,118,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.158Z,3333330002,2016-03-16T21:09:49.158Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.158Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000120,0,TEAS,60000120,120,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.159Z,3333330002,2016-03-16T21:09:49.159Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.159Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000121,0,TEAS,60000121,121,null,P,null,null,M,2005-10-11T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.159Z,3333330002,2016-03-16T21:09:49.159Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.159Z,null,2005-10-11T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000328,0,TEAS,60000328,328,null,P,null,null,M,2005-10-21T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.302Z,3333330002,2016-03-16T21:09:49.302Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.302Z,null,2005-10-21T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000329,0,TEAS,60000329,329,null,P,null,null,M,2005-10-21T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.303Z,3333330002,2016-03-16T21:09:49.303Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.303Z,null,2005-10-21T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000331,0,TEAS,60000331,331,null,P,null,null,M,2005-10-21T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.304Z,3333330002,2016-03-16T21:09:49.304Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.304Z,null,2005-10-21T00:00:00.000Z,null,I,N,null,null,N,TEAS
Trademark:0:60000332,0,TEAS,60000332,332,null,P,null,null,M,2005-10-21T00:00:00.000Z,N,626,0,2016-03-16T21:09:49.305Z,3333330002,2016-03-16T21:09:49.305Z,3333330002,Transaction:0:1,2016-03-16T21:09:49.305Z,null,2005-10-21T00:00:00.000Z,null,I,N,null,null,N,TEAS
