FK_TRADEMARK_GID,AMENDMENT_TO_USE_FILED_IN,APPLICATION_MARK_IN_1,APPLICATION_MARK_IN_2,FINAL_ACTION_REFUSAL_ATU_IN,FIRST_ACTION_REFUSAL_ATU_IN,AVAILABLE_FOR_SOU_IN,EXTENSIONS_NOT_ALLOWED_IN,HOLD_FIRST_ACTION_RFSL_ATU_IN,LAST_UA_TRAN_INFRML_RSP_RCV_IN,LAST_UA_TRAN_INFRML_LTR_ML_IN,ITU_CASE_PUBD_FOR_OPSTN_IN,ITU_FREEZE_PERIOD_IN,LATEST_ITU_FILNG_RECEIVED_DT,SOU_EXT_DENIAL_LTR_MAILED_IN,LAST_EXT_TRAN_DNIL_LTR_PREP_IN,LAST_POSSIBLE_EXTENSION_DT,LAST_EXT_TRAN_SOU_EXT_FILED_IN,USE_AFFIDAVIT_PRCSG_COMPLT_IN,NOA_ISSUED_IN,SOU_EXTENSION_REQ_FILED_IN,NOA_MAILED_IN,POTENTIEL_ABANDONMENT_DT,SOU_RECEIVED_DT,LOCK_CONTROL_NO,CREATE_TS,CREATE_USER_ID,LAST_MOD_TS,LAST_MOD_USER_ID,ACTION_CT,CFK_TRANSACTION_INSTANCE_GID,BEGIN_EFFECTIVE_TS,END_EFFECTIVE_TS
Trademark:0:90234743,N,N,N,N,N,N,N,N,N,N,Y,N,2022-08-22,N,N,null,Y,N,N,Y,Y,2022-06-08,null,1,2022-08-22T06:35:59.112Z,333333,2022-08-22T06:35:59.112Z,333333,U,Transaction:3964:12891,2022-08-22T06:35:59.191Z,2022-08-22T06:36:02.211Z
Trademark:0:90234743,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2022-12-08,null,1,2022-08-22T06:36:02.129Z,333333,2022-08-22T06:36:02.129Z,333333,U,Transaction:3964:12892,2022-08-22T06:36:02.212Z,2022-08-22T06:36:03.236Z
Trademark:0:90234743,N,N,N,N,N,N,N,N,N,N,Y,N,2022-08-22,N,N,null,N,N,N,Y,Y,2022-12-08,null,1,2022-08-22T06:36:03.163Z,333333,2022-08-22T06:36:03.163Z,333333,U,Transaction:3964:12893,2022-08-22T06:36:03.237Z,2022-08-22T06:36:04.245Z
Trademark:0:90234743,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2022-12-08,null,1,2022-08-22T06:36:04.165Z,333333,2022-08-22T06:36:04.165Z,333333,U,Transaction:3964:12894,2022-08-22T06:36:04.246Z,2022-11-08T15:28:00.016Z
Trademark:0:90977923,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2022-08-15,N,Y,N,N,Y,2022-08-15,2022-07-20,1,2022-08-22T07:04:58.086Z,333333,2022-08-22T07:04:58.086Z,333333,U,Transaction:3964:13274,2022-08-22T07:04:58.177Z,2022-08-26T12:33:31.073Z
Trademark:0:90977926,N,N,N,N,N,N,N,N,N,N,N,Y,null,N,N,null,N,N,N,N,N,null,null,1,2022-08-22T07:05:26.434Z,333333,2022-08-22T07:05:26.434Z,333333,U,Transaction:3964:13311,2022-08-22T07:05:26.488Z,2022-08-26T12:24:21.068Z
Trademark:0:90977918,Y,N,N,Y,N,N,N,N,N,N,Y,N,null,N,N,2022-08-01,N,Y,N,N,Y,2022-08-01,2022-08-01,1,2022-08-22T07:05:26.789Z,333333,2022-08-22T07:05:26.789Z,333333,U,Transaction:3964:13313,2022-08-22T07:05:26.854Z,2022-08-26T12:33:31.260Z
Trademark:0:90099657,Y,N,N,N,Y,N,N,N,N,N,Y,N,null,N,N,2021-09-16,N,Y,N,N,Y,2021-09-16,2021-07-30,1,2022-08-22T07:05:33.006Z,333333,2022-08-22T07:05:33.006Z,333333,U,Transaction:3964:13318,2022-08-22T07:05:33.188Z,2023-11-29T23:05:20.002Z
Trademark:0:87555133,Y,N,N,N,N,N,N,N,N,N,Y,N,2022-08-22,N,N,2022-08-15,N,Y,N,N,Y,2022-08-15,2022-08-02,1,2022-08-22T07:06:31.732Z,333333,2022-08-22T07:06:31.732Z,333333,U,Transaction:3964:13379,2022-08-22T07:06:31.814Z,2022-08-22T07:06:33.041Z
Trademark:0:85389024,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2012-08-28,N,Y,N,N,Y,2012-08-28,2012-06-06,1,2022-08-21T15:16:38.560Z,333333,2022-08-21T15:16:38.560Z,333333,U,Transaction:3964:926,2022-08-21T15:16:38.735Z,2023-11-29T23:05:20.002Z
Trademark:0:85518005,Y,N,N,N,N,N,N,N,N,N,N,N,null,N,N,null,N,Y,N,N,N,null,null,1,2022-08-21T15:20:38.704Z,333333,2022-08-21T15:20:38.704Z,333333,U,Transaction:3964:935,2022-08-21T15:20:38.859Z,null
Trademark:0:85497278,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2013-07-17,N,Y,N,Y,Y,2013-07-17,2013-05-30,1,2022-08-21T15:21:49.132Z,333333,2022-08-21T15:21:49.132Z,333333,U,Transaction:3964:937,2022-08-21T15:21:49.333Z,2022-09-25T09:16:03.533Z
Trademark:0:85258854,Y,N,N,N,N,N,Y,N,N,N,Y,N,null,N,N,null,N,Y,N,Y,Y,2013-03-27,2012-09-25,1,2022-08-21T15:24:29.619Z,333333,2022-08-21T15:24:29.619Z,333333,U,Transaction:3964:942,2022-08-21T15:24:29.767Z,2023-11-29T23:05:20.002Z
Trademark:0:85978669,Y,N,N,Y,N,N,N,N,N,N,Y,N,null,N,N,2013-03-04,N,Y,N,N,Y,2013-03-04,2013-02-14,1,2022-08-21T15:34:23.041Z,333333,2022-08-21T15:34:23.041Z,333333,U,Transaction:3964:965,2022-08-21T15:34:23.222Z,2022-08-21T15:35:41.227Z
Trademark:0:85978669,Y,N,N,Y,N,N,N,N,N,N,Y,N,null,N,N,2013-03-04,N,Y,N,N,Y,2013-03-04,2013-02-14,1,2022-08-21T15:35:41.154Z,333333,2022-08-21T15:35:41.154Z,333333,U,Transaction:3964:971,2022-08-21T15:35:41.228Z,2023-11-29T23:05:20.002Z
Trademark:0:85062705,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2011-07-11,N,Y,N,N,Y,2011-07-11,2011-01-17,1,2022-08-21T15:58:47.908Z,333333,2022-08-21T15:58:47.908Z,333333,U,Transaction:3964:1014,2022-08-21T15:58:48.069Z,2023-11-29T23:05:20.002Z
Trademark:0:85520695,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2013-02-21,N,Y,N,N,Y,2013-02-21,2013-02-01,1,2022-08-21T16:02:45.617Z,333333,2022-08-21T16:02:45.617Z,333333,U,Transaction:3964:1020,2022-08-21T16:02:45.799Z,2023-11-29T23:05:20.002Z
Trademark:0:85380651,Y,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,2012-08-14,N,Y,N,N,Y,2012-08-14,2012-04-19,1,2022-08-21T16:19:20.833Z,333333,2022-08-21T16:19:20.833Z,333333,U,Transaction:3964:1046,2022-08-21T16:19:20.939Z,2023-11-29T23:05:20.002Z
Trademark:0:87786397,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-09-20,null,1,2022-08-21T18:53:58.857Z,333333,2022-08-21T18:53:58.857Z,333333,U,Transaction:3964:1403,2022-08-21T18:53:58.978Z,2023-11-29T23:05:20.002Z
Trademark:0:88051145,N,N,N,N,N,N,N,N,N,N,Y,Y,null,N,N,null,N,N,N,N,N,null,null,1,2022-08-21T19:02:17.242Z,333333,2022-08-21T19:02:17.242Z,333333,U,Transaction:3964:1428,2022-08-21T19:02:17.435Z,null
Trademark:0:87652631,N,N,N,N,N,N,N,N,N,N,Y,N,null,N,N,null,N,N,N,Y,Y,2021-10-25,null,1,2022-08-21T19:03:48.194Z,333333,2022-08-21T19:03:48.194Z,333333,U,Transaction:3964:1433,2022-08-21T19:03:48.394Z,2023-11-29T23:05:20.002Z
