mailing_address_gid,name_line_1_tx,name_line_2_tx,street_line_1_tx,street_line_2_tx,city_nm,geographic_region_cd,geographic_region_nm,postal_cd,country_cd,country_nm,department_nm,address_type_ct,lock_control_no,create_ts,create_user_id,last_mod_ts,last_mod_user_id,cfk_transaction_instance_gid,begin_effective_ts,end_effective_ts,action_ct
MailingAddr:0:28944,SWENSEN'S INC.   ,null,4175 VETERANS HIGHWAY , ,RONKONKOMA,NY,NEW YORK,11779,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:23.154Z,3333330003,2019-01-20T05:11:23.154Z,3333330003,Transaction:0:1,2019-01-20T05:11:23.154Z,null,I
MailingAddr:0:29466,Federal National Mortgage Association   ,null, ,"3900 Wisconsin Avenue, N.W. ",Washington,DC,DISTRICT OF COLUMBIA,20016,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.511Z,3333330003,2019-01-20T05:11:22.511Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.511Z,null,I
MailingAddr:0:29467,"Graymatter Software & Consulting, Inc.   ",null,Suite 550 ,1300 Dexter Avenue North ,Seattle,WA,WASHINGTON,98109,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.511Z,3333330003,2019-01-20T05:11:22.511Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.511Z,null,I
MailingAddr:0:29468,CALIFORNIA TEST BUREAU   ,null, ,5916 HOLLYWOOD BLVD. ,LOS ANGELES,CA,CALIFORNIA, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.511Z,3333330003,2019-01-20T05:11:22.511Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.511Z,null,I
MailingAddr:0:8094,H. D. HUDSON MANUFACTURING COMPANY   ,null, ,589 E. ILLINOIS ST. ,CHICAGO,IL,ILLINOIS, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.511Z,3333330003,2019-01-20T05:11:22.511Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.511Z,null,I
MailingAddr:0:8095,UNITED STATES SAFETY SERVICE CO.   ,null, ,1331 OAK ST. ,KANSAS CITY,MO,MISSOURI, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.511Z,3333330003,2019-01-20T05:11:22.511Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.511Z,null,I
MailingAddr:0:8096,HENRY FRUECHTENICHT CO. INC.   ,null, ,211 N. HANCOCK ST. ,LOUISVILLE,KY,KENTUCKY, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.511Z,3333330003,2019-01-20T05:11:22.511Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.511Z,null,I
MailingAddr:0:8097,THOMPSON-BREMER & CO.   ,null, ,1640 HUBBARD ST. ,CHICAGO,IL,ILLINOIS, ,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.511Z,3333330003,2019-01-20T05:11:22.511Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.511Z,null,I
MailingAddr:0:8098,"R.T. VANDERBILT COMPANY, INC.   ",null,30 WINFIELD STREET , ,NORWALK,CT,CONNECTICUT,068565150,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.511Z,3333330003,2019-01-20T05:11:22.511Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.511Z,null,I
MailingAddr:0:8099,"BUJULIAN BROTHERS, INC.   ",null, ,291 North 6th Avenue ,Kingsburg,CA,CALIFORNIA,93631,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.511Z,3333330003,2019-01-20T05:11:22.511Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.511Z,null,I
MailingAddr:0:8100,Northeastern Products Corp.   ,null,115 Sweet Road , ,Warrensburg,NY,NEW YORK,12885,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.511Z,3333330003,2019-01-20T05:11:22.511Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.511Z,2022-07-07T17:38:25.012Z,I
MailingAddr:0:8101,"SHERMAN'S CONFECTIONS, INC.   ",null, ,1032 East Edna Place ,Covina,CA,CALIFORNIA,91724,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.511Z,3333330003,2019-01-20T05:11:22.511Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.511Z,null,I
MailingAddr:0:8102,"Cric-Crac, Inc.   ",null, ,2444 Madison Road ,Cincinnati,OH,OHIO,45244,US,UNITED STATES OF AMERICA,null,S,0,2019-01-20T05:11:22.511Z,3333330003,2019-01-20T05:11:22.511Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.511Z,null,I
MailingAddr:0:8103,"GENERAL ABRASIVE COMPANY, INC.   ",null, ,"NIAGARA FALLS, N.Y. ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.511Z,3333330003,2019-01-20T05:11:22.511Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.511Z,null,I
MailingAddr:0:8104,"DOBECKMUN COMPANY, THE   ",null, ,"CLEVELAND, OHIO ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.511Z,3333330003,2019-01-20T05:11:22.511Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.511Z,null,I
MailingAddr:0:8105,"FOREST CITY PUBLISHING COMPANY, THE   ",null, ,"CLEVELAND, OHIO ", ,null,null, , ,Not in List,null,S,0,2019-01-20T05:11:22.511Z,3333330003,2019-01-20T05:11:22.511Z,3333330003,Transaction:0:1,2019-01-20T05:11:22.511Z,null,I
